instance_file,n_items,capacity,dp_value,dp_weight,dp_feasible,dp_time_ms,gnn_value,gnn_weight,gnn_feasible,gnn_time_ms,gap_gnn,dqn_value,dqn_weight,dqn_feasible,dqn_time_ms,gap_dqn,dp_selected_items,gnn_selected_items,dqn_selected_items
instance_0868.npz,157,610.0,766.0,610.0,1,3.1407000205945224,762.0,610.0,1,2.0324999932199717,0.005221932114882507,621.0,610.0,1,21.9469,0.18929503916449086,"[20, 26, 54, 66, 71, 93, 96, 97, 98, 113, 143]","[13, 26, 66, 71, 93, 94, 97, 98, 102, 124, 137, 143]","[0, 1, 2, 3, 4, 5, 6, 9, 12, 15, 16, 68, 137]"
instance_0869.npz,177,704.0,891.0,704.0,1,4.297999985283241,870.0,704.0,1,2.2498999896924943,0.02356902356902357,772.0,704.0,1,24.64439999,0.1335578002244669,"[7, 16, 36, 39, 74, 87, 106, 109, 140, 163, 165]","[7, 39, 55, 60, 74, 106, 116, 135, 162, 165, 171, 175]","[0, 1, 2, 3, 4, 5, 7, 8, 13, 15, 20, 21, 23, 26, 27, 28, 29, 51, 65]"
instance_0870.npz,159,362.0,464.0,362.0,1,1.552900008391589,459.0,362.0,1,2.1794000058434904,0.010775862068965518,416.0,361.0,1,22.52819997,0.10344827586206896,"[0, 22, 29, 38, 52, 61, 67]","[0, 8, 52, 53, 61, 141, 146]","[0, 1, 2, 3, 4, 6, 8, 9, 12, 33, 124, 145]"
instance_0871.npz,161,391.0,496.0,391.0,1,1.7694999987725168,485.0,391.0,1,2.031999989412725,0.02217741935483871,458.0,391.0,1,22.61369998,0.07661290322580645,"[3, 5, 86, 89, 100, 126, 128]","[3, 4, 17, 31, 55, 66, 78, 100, 118, 147, 150]","[0, 1, 3, 5, 8, 9, 26, 31, 55, 66, 150]"
instance_0872.npz,121,259.0,332.0,259.0,1,0.8006999851204455,324.0,259.0,1,1.9777999841608107,0.024096385542168676,275.0,259.0,1,17.3749,0.1716867469879518,"[40, 44, 62, 78, 92, 100]","[10, 38, 44, 62, 92, 114]","[0, 1, 4, 5, 6, 43, 78]"
instance_0873.npz,149,410.0,523.0,410.0,1,1.826499996241182,508.0,410.0,1,2.000500011490658,0.028680688336520075,458.0,410.0,1,20.90949999,0.124282982791587,"[4, 9, 13, 38, 41, 64, 79, 116, 127, 128, 146]","[15, 33, 61, 74, 99, 125, 145]","[0, 1, 2, 3, 6, 8, 9, 10, 13, 16, 18, 31]"
instance_0874.npz,157,206.0,263.0,206.0,1,0.7658000104129314,254.0,205.0,1,2.043699991190806,0.034220532319391636,212.0,206.0,1,22.06749999,0.19391634980988592,"[37, 41, 61, 82, 99]","[15, 38, 41, 53, 93, 100, 111, 127, 130]","[0, 1, 3, 9, 11, 19, 41]"
instance_0875.npz,199,652.0,832.0,652.0,1,4.20029999804683,827.0,651.0,1,2.3394000018015504,0.006009615384615385,749.0,651.0,1,27.92960001,0.09975961538461539,"[11, 28, 48, 64, 77, 90, 92, 103, 118, 127, 177, 185]","[0, 11, 15, 16, 28, 48, 58, 64, 92, 103, 118, 119, 133, 135, 137, 177, 185, 191]","[0, 1, 2, 3, 4, 5, 7, 8, 11, 12, 16, 58, 64, 68, 191]"
instance_0876.npz,106,412.0,524.0,412.0,1,1.3004000065848231,513.0,410.0,1,2.081199985696003,0.02099236641221374,461.0,411.0,1,14.35879999,0.12022900763358779,"[2, 6, 24, 27, 42, 49, 74, 77, 90]","[1, 4, 27, 42, 53, 59, 67, 77, 90, 99]","[0, 1, 2, 3, 5, 6, 7, 9, 13, 42, 53]"
instance_0877.npz,105,213.0,272.0,213.0,1,0.5295999872032553,260.0,213.0,1,1.8540000019129366,0.04411764705882353,228.0,212.0,1,14.64740001,0.16176470588235295,"[15, 44, 59, 95]","[15, 16, 21, 59, 66]","[0, 1, 2, 3, 7, 15, 21, 31]"
