instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0382.npz,170,790,790,998,1,4.929500020807609,"[23, 25, 32, 34, 37, 48, 74, 85, 92, 101, 107, 117, 134, 153, 169]"
instance_0383.npz,118,735,735,908,1,3.2484999974258244,"[11, 18, 32, 56, 62, 65, 78, 86, 95, 96, 100]"
instance_0384.npz,135,760,760,958,1,3.9591999957337976,"[9, 14, 15, 26, 29, 31, 42, 45, 51, 62, 84, 113, 115, 119]"
instance_0385.npz,83,382,382,485,1,0.9294000046793371,"[3, 13, 24, 31, 34, 48, 54, 67]"
instance_0386.npz,89,261,261,331,1,0.6016999832354486,"[6, 7, 16, 23, 31, 56]"
instance_0387.npz,110,542,542,688,1,2.194400003645569,"[3, 22, 27, 37, 70, 96, 100]"
instance_0388.npz,100,777,777,972,1,3.074899985222146,"[2, 3, 9, 12, 21, 30, 31, 33, 36, 48, 55, 59, 62, 64, 69, 70]"
instance_0389.npz,82,307,307,389,1,0.7387999794445932,"[10, 35, 36, 40, 42, 60]"
instance_0390.npz,190,359,359,458,1,2.0238000142853707,"[5, 6, 20, 65, 76, 79, 127, 142]"
instance_0391.npz,129,344,344,437,1,1.2619999761227518,"[11, 108, 111, 116, 127]"
instance_0392.npz,174,253,253,324,1,1.2522000179160386,"[4, 17, 44, 62, 93]"
instance_0393.npz,133,319,319,407,1,1.1588000052142888,"[9, 12, 18, 62]"
instance_0394.npz,117,250,250,317,1,0.766999990446493,"[16, 38, 73, 75, 84, 102]"
instance_0395.npz,169,645,645,822,1,3.5823999787680805,"[7, 8, 15, 20, 26, 74, 120, 123, 127, 154]"
instance_0396.npz,127,261,261,332,1,0.8993000083137304,"[11, 16, 23, 67, 70, 95]"
instance_0397.npz,191,670,670,854,1,4.527899989625439,"[8, 24, 30, 59, 62, 94, 111, 118, 144, 151, 159, 170]"
instance_0398.npz,121,642,642,802,1,2.7447999746073037,"[2, 5, 17, 24, 37, 39, 43, 52, 61, 64, 65, 71, 82, 119]"
instance_0399.npz,149,791,791,983,1,4.472400003578514,"[24, 31, 33, 37, 46, 58, 59, 71, 93, 94, 105, 114, 123, 143]"
instance_0400.npz,175,774,774,976,1,5.2887000201735646,"[6, 22, 31, 71, 85, 86, 95, 121, 131, 139, 150, 153]"
instance_0401.npz,124,737,737,928,1,3.5386999952606857,"[4, 14, 21, 23, 35, 51, 74, 80, 87, 89, 102, 103, 122]"
instance_0402.npz,176,322,322,412,1,1.7535000224597752,"[15, 21, 47, 55, 81, 94]"
instance_0403.npz,171,696,696,874,1,4.291999997803941,"[25, 32, 34, 42, 76, 86, 92, 97, 99, 130, 145, 150]"
instance_0404.npz,181,761,761,964,1,5.3727999911643565,"[9, 11, 15, 56, 67, 77, 88, 97, 100, 138, 141, 144, 168, 178, 179]"
instance_0405.npz,109,778,778,969,1,3.545100014889613,"[24, 30, 34, 38, 39, 44, 47, 49, 52, 60, 63, 68, 73, 74, 81, 105]"
instance_0406.npz,128,568,568,724,1,2.4204000073950738,"[10, 40, 47, 65, 74, 101, 117, 127]"
instance_0407.npz,181,716,716,916,1,5.2297999791335315,"[4, 18, 21, 28, 32, 36, 56, 57, 63, 81, 103, 121, 167]"
instance_0408.npz,98,272,272,348,1,0.832199992146343,"[7, 17, 67, 71, 83, 86]"
instance_0409.npz,103,797,797,986,1,3.2623000151943415,"[0, 7, 23, 26, 27, 31, 32, 38, 59, 66, 70, 76, 81, 89, 91]"
instance_0410.npz,200,343,343,442,1,2.0409999997355044,"[65, 82, 134, 194]"
instance_0411.npz,191,691,691,874,1,4.845899995416403,"[20, 59, 60, 63, 73, 76, 79, 123, 129, 140, 148, 165]"
instance_0412.npz,127,627,627,791,1,2.934500022092834,"[0, 1, 3, 10, 13, 35, 59, 104, 106, 115, 124, 125]"
instance_0413.npz,168,241,241,309,1,1.1373000161256641,"[33, 49, 62, 85, 92, 132]"
instance_0414.npz,92,408,408,515,1,1.1767999967560172,"[2, 26, 39, 45, 54, 60, 70]"
instance_0415.npz,90,241,241,307,1,0.7113000028766692,"[3, 5, 23, 44, 46, 57]"
instance_0416.npz,112,731,731,916,1,3.2595999946352094,"[4, 5, 18, 27, 45, 47, 72, 76, 81, 87, 92, 100, 108]"
instance_0417.npz,187,488,488,621,1,3.0858000100124627,"[28, 53, 77, 101, 104, 118, 124, 154, 182]"
instance_0418.npz,111,431,431,539,1,1.4430000155698508,"[9, 35, 55, 71, 72, 74, 85, 87, 100]"
instance_0419.npz,159,765,765,967,1,4.783700016560033,"[20, 38, 43, 45, 46, 54, 97, 107, 116, 117, 133]"
instance_0420.npz,128,300,300,385,1,1.1257999867666513,"[39, 57, 82, 86, 102]"
instance_0421.npz,106,493,493,625,1,1.697800005786121,"[3, 14, 28, 46, 57, 92, 93, 95]"
instance_0422.npz,140,701,701,895,1,3.438700019614771,"[5, 32, 41, 49, 50, 89, 93, 101, 112, 120, 138]"
instance_0423.npz,96,458,458,577,1,1.3176999927964061,"[0, 9, 39, 48, 52, 54, 69, 70]"
instance_0424.npz,135,736,736,921,1,3.567000007024035,"[12, 45, 63, 64, 72, 78, 81, 97, 98, 99, 104, 118, 122, 133, 134]"
